model,split,min_rating,fit_seconds,hr@10,ndcg@10,hr@20,ndcg@20,hr@100,ndcg@100,mrr,sampled99_hr@10,sampled99_ndcg@10,n_eval_users,params
bpr,valid,,,0.0846026490066225,0.0403720078153102,0.1490066225165563,0.0565416930712234,0.4003311258278145,0.101701891775397,0.0392409154050863,0.6740066225165563,0.409239540514289,6040,"{""epochs"": 100, ""factors"": 128, ""learning_rate"": 0.05, ""regularization"": 0.001}"
bpr,test,,,0.0771523178807947,0.0377714971846152,0.1346026490066225,0.0521798954207079,0.3753311258278146,0.0950520560638476,0.0372424196695578,0.6503311258278146,0.3892245940396994,6040,"{""epochs"": 100, ""factors"": 128, ""learning_rate"": 0.05, ""regularization"": 0.001}"
als,valid,,,0.0970198675496688,0.0458954462052328,0.1620860927152317,0.0622082185703311,0.4490066225165562,0.1140847782262227,0.0437061925230867,0.6951986754966888,0.4378561013711552,6040,"{""alpha"": 1.0, ""factors"": 128, ""regularization"": 1.0}"
als,test,,,0.0900662251655629,0.0448058522550583,0.1564569536423841,0.0614398486868449,0.422682119205298,0.1092505971587391,0.0436853971625499,0.6708609271523179,0.4165147012650214,6040,"{""alpha"": 1.0, ""factors"": 128, ""regularization"": 1.0}"
ease,valid,3.0,,0.0992050347797283,0.0477457431792999,0.17108314011262,0.0657675789289013,0.4577674726730705,0.1173302918697726,0.045730193233481,0.7229214971844982,0.4482516567214477,6038,"{""regularization"": 500}"
ease,test,3.0,,0.1016893010930771,0.0504936061150512,0.1611460748592249,0.0653785124350773,0.4367340178867174,0.1148366262233807,0.0474031697824726,0.6881417687976151,0.4238365994107912,6038,"{""regularization"": 500}"
bpr,valid,3.0,,0.0844650546538589,0.0414043249488571,0.1455780059622391,0.0567438546956616,0.396488903610467,0.1016167373770299,0.0403939726068322,0.6816826763829082,0.4061940624812947,6038,"{""epochs"": 100, ""factors"": 128, ""learning_rate"": 0.05, ""regularization"": 0.001}"
bpr,test,3.0,,0.0761841669426962,0.0373506842068351,0.1311692613448161,0.0511300207357301,0.3789334216628022,0.0953592954689886,0.0370031078388389,0.6581649552832064,0.3859570865715504,6038,"{""epochs"": 100, ""factors"": 128, ""learning_rate"": 0.05, ""regularization"": 0.001}"
als,valid,3.0,,0.0975488572374958,0.0465000387705568,0.1613116926134481,0.0625255151783838,0.4340841338191454,0.1115669283805911,0.0435952829986829,0.6720768466379596,0.4195804616875353,6038,"{""alpha"": 1.0, ""factors"": 128, ""regularization"": 0.01}"
als,test,3.0,,0.091752235839682,0.0459220789490466,0.152037098376946,0.0610445492668629,0.4145412388208015,0.1082394240023045,0.0441777757930155,0.6538588936734018,0.4020382359754209,6038,"{""alpha"": 1.0, ""factors"": 128, ""regularization"": 0.01}"
als,valid,,,0.0975165562913907,0.0474540836845474,0.16341059602649,0.063945910473776,0.4380794701986755,0.1134149941806881,0.0450319561896731,0.6852649006622517,0.4309948865298912,6040,"{""alpha"": 0.1, ""factors"": 128, ""regularization"": 1.0}"
als,test,,,0.0915562913907284,0.0457694984273649,0.1541390728476821,0.0614347540485651,0.4144039735099338,0.1079703285680745,0.0439670366198602,0.6600993377483444,0.4099934189130926,6040,"{""alpha"": 0.1, ""factors"": 128, ""regularization"": 1.0}"
bpr,valid,,,0.0913907284768212,0.0449703461218138,0.1561258278145695,0.0612111858769029,0.4182119205298013,0.1081093228991829,0.0433784844479227,0.6854304635761589,0.421908416413176,6040,"{""epochs"": 200, ""factors"": 256, ""learning_rate"": 0.05, ""regularization"": 0.001}"
bpr,test,,,0.0859271523178808,0.0419806435441755,0.1498344370860927,0.0579801263390257,0.3880794701986755,0.1006515185638234,0.0405715925071258,0.6635761589403973,0.4005942469519107,6040,"{""epochs"": 200, ""factors"": 256, ""learning_rate"": 0.05, ""regularization"": 0.001}"
bpr,valid,,,0.0973509933774834,0.0465873370312751,0.1647350993377483,0.0634977994922154,0.4423841059602649,0.1132196501011685,0.0442474850758343,0.7172185430463576,0.4435639725588071,6040,"{""epochs"": 400, ""factors"": 512, ""learning_rate"": 0.05, ""regularization"": 0.001}"
bpr,test,,,0.0836092715231788,0.041668497424556,0.1470198675496688,0.0575758063597406,0.4107615894039735,0.1049535795379708,0.0415311755789443,0.6981788079470199,0.423219817536372,6040,"{""epochs"": 400, ""factors"": 512, ""learning_rate"": 0.05, ""regularization"": 0.001}"
als,valid,3.0,,0.0990394170255051,0.0475625342200854,0.1599867505796621,0.0629077375980658,0.4249751573368665,0.110565164137651,0.0443158847819844,0.667108314011262,0.4151828686213085,6038,"{""alpha"": 0.5, ""factors"": 128, ""regularization"": 0.01}"
als,test,3.0,,0.0920834713481285,0.0447153637276591,0.1508777740973832,0.0594131340473294,0.408247764160318,0.1056922535848767,0.0422678157576448,0.6462404769791321,0.3969345267656939,6038,"{""alpha"": 0.5, ""factors"": 128, ""regularization"": 0.01}"
bpr,valid,3.0,,0.08810864524677045,0.04260134742587453,0.14839350778403446,0.05774397100247582,0.40079496522027164,0.10290488360578033,0.040762919370841366,0.6760516727393177,0.40556050520996917,6038,"{""epochs"": 200, ""factors"": 128, ""learning_rate"": 0.05, ""regularization"": 0.001}"
bpr,test,3.0,,0.0788340510102683,0.039201506823516176,0.1338191454123882,0.05304305838722099,0.3910235177210997,0.09893938923666204,0.038760584473811366,0.6578337197747599,0.39164945493222736,6038,"{""epochs"": 200, ""factors"": 128, ""learning_rate"": 0.05, ""regularization"": 0.001}"
