alpha,shrink,top_k,hr@10,ndcg@10,hr@20,ndcg@20,hr@100,ndcg@100,mrr,seconds
0.75,10,5,0.04140443855581318,0.017066042003763365,0.07966213978138456,0.02662571528949357,0.32643259357403115,0.0705116851212249,0.01979463075868005,2.94
0.25,500,5,0.04223252732692945,0.015513923460923864,0.09539582643259358,0.02864591786118922,0.31765485260019877,0.06883182925438028,0.018508061413580086,2.77
1.0,10,20,0.04272938058959921,0.015165687988679172,0.08032461079827757,0.0246939050497979,0.2691288506127857,0.05810211810221351,0.016110805342586684,2.88
1.0,100,20,0.04272938058959921,0.01514606748106464,0.07982775753560782,0.024576756194627014,0.2697913216296787,0.058176484941628706,0.016088409990948307,3.06
1.0,0,20,0.042563762835375954,0.015096986535891843,0.08032461079827757,0.0246843293637041,0.26896323285856244,0.058064467211631415,0.016093946830343233,2.85
0.0,500,3,0.04140443855581318,0.01509039091658877,0.09605829744948659,0.028666722032222026,0.3128519377277244,0.06772393172942703,0.017874210270563868,2.75
1.0,500,20,0.042563762835375954,0.015090300059033359,0.08098708181517059,0.024818448534084624,0.2687976151043392,0.058025890809381746,0.016080445157594228,2.96
0.75,0,3,0.03544219940377608,0.014421696379063712,0.06922822126531965,0.022842654760742608,0.2800596223915204,0.05976705304890552,0.016848418073211524,2.84
0.5,100,3,0.03212984431931103,0.012015821114403937,0.07469360715468698,0.022560808851611915,0.30423981450811527,0.06345705590122373,0.01592059245016572,2.8
0.5,500,10,0.03130175554819477,0.01142269787294037,0.08562437893342166,0.024852164582547433,0.29728386883073865,0.06294635896580547,0.016227091028891596,2.9
0.75,10,3,0.026498840675720437,0.010689412993896481,0.05647565419012918,0.018170400675934457,0.26581649552832065,0.05462263626149218,0.014400967786355443,2.95
0.75,100,10,0.028320635972176218,0.01067194235443568,0.08065584630672408,0.023533418131781954,0.2933090427293806,0.06201487140864378,0.016001580483236116,2.84
0.25,500,3,0.0182179529645578,0.006439534954264708,0.04935409075852931,0.014164015496793662,0.300761841669427,0.05870902816934588,0.012409138053618686,2.74
0.75,500,10,0.011096389532957933,0.004092684577562604,0.039085789996687645,0.010938632673707146,0.26416031798608813,0.052070550088173434,0.011416638509273519,2.97
0.5,500,5,0.008777740973832394,0.0032269423496988107,0.026830076184166943,0.007688630921609695,0.28039085789996687,0.05171393233616977,0.009800162731200162,2.94
0.75,100,5,0.008777740973832394,0.0031850898808899594,0.0241801921165949,0.007010413645783814,0.2754223252732693,0.05018017276373822,0.00937096698118158,2.94
1.0,10,10,0.004471679364027824,0.0017275388181673332,0.024511427625041403,0.006576929951710288,0.24577674726730706,0.04701252307656758,0.009624090188717273,2.82
1.0,0,10,0.004471679364027824,0.0017237527065232722,0.024677045379264656,0.00661406804986167,0.24643921828420007,0.04710911341263174,0.009625025619667623,3.06
1.0,100,10,0.004471679364027824,0.0017237527065232722,0.024511427625041403,0.0065751750215099864,0.2459423650215303,0.04704077582491557,0.009627277931277966,3.14
1.0,500,10,0.004471679364027824,0.0017237527065232722,0.024677045379264656,0.006614895065540054,0.2456111295130838,0.04697306740290422,0.009621798925377786,2.94
0.75,100,3,0.003146737330241802,0.0011109539315120045,0.011924478304074197,0.0032636515617867914,0.14806227227558794,0.026114638171587448,0.006183243460771709,2.78
